City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Ponta Do Sol,PT,66.13,overcast clouds,32.6667,-17.1,Hotel do Campo
197,Chicama,PE,61.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
202,Ancud,CL,54.43,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
203,Teguise,ES,59.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
207,Hasaki,JP,61.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
209,Katsuura,JP,61.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
214,Comodoro Rivadavia,AR,64.26,light rain,-45.8667,-67.5,Austral Hotel
216,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
217,Ormond Beach,US,72.01,few clouds,29.2858,-81.0559,Makai Beach Lodge
218,Texarkana,US,62.82,clear sky,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
225,Chhuikhadan,IN,71.6,overcast clouds,21.5333,80.9833,All Day Library
226,Tabas,IR,50.47,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
231,Sakakah,SA,58.57,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
232,Sao Luiz Gonzaga,BR,63.25,clear sky,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
233,Bafra,TR,51.82,overcast clouds,41.5678,35.9069,Sevgi Otel
235,Palm Coast,US,72.0,clear sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
236,Porto Walter,BR,72.57,broken clouds,-8.2686,-72.7439,Secretaria de saúde
240,Plettenberg Bay,ZA,59.79,broken clouds,-34.0527,23.3716,Thanda Vista B&B
241,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
242,Coquimbo,CL,56.93,broken clouds,-29.9533,-71.3436,Punto de encuentro
243,Arraial Do Cabo,BR,71.08,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
244,Haian,CN,62.98,overcast clouds,32.5436,120.45,Zhongyang Shanghai Min
245,Mpika,ZM,63.28,scattered clouds,-11.8343,31.4529,Melodies Lodge
260,Peniche,PT,57.07,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
261,Nandikotkur,IN,74.88,overcast clouds,15.8667,78.2667,Sugadasi VEERASWAMY
262,Buritis,BR,72.59,moderate rain,-15.6178,-46.4233,Hotel Rainha do Vale
264,Sao Joao Da Barra,BR,70.3,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
265,Rocha,UY,56.88,clear sky,-34.4833,-54.3333,Hotel Arrarte
269,Lagoa,PT,64.35,overcast clouds,39.05,-27.9833,Casa Das Faias
274,Kambi,GR,52.05,clear sky,39.2177,20.8998,HOTEL ILIANA
275,Marrakesh,MA,55.47,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
276,Terra Boa,BR,74.8,clear sky,-23.7681,-52.4442,Hotel do Gaúcho
